system:index,band,correlation,.geo
63,SR_B4_SR_B5,0.23145569512092568,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,SR_B4_SR_B6,0.8682926207078431,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,SR_B4_SR_B7,0.9399292134302296,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,SR_B4_elevation,-0.35795144865224965,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,SR_B4_slope,-0.3186413836322654,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,SR_B4_NDBI,0.7985033403377708,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,SR_B4_NDVI,-0.8946453727622958,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,SR_B4_BLFEI,0.6795819926996053,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,SR_B4_NDMI,-0.7985033403377708,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,SR_B4_NDSaII,0.689833188045241,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,SR_B4_ExG,-0.3100294698787328,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,SR_B4_EVI,-0.6427706321535581,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,SR_B4_SR_B2_1,0.691545621065493,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,SR_B4_SR_B3_1,0.7419067588039094,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,SR_B4_SR_B4_1,0.6944728290177148,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,SR_B4_SR_B5_1,0.19659500859579826,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,SR_B4_SR_B6_1,0.6145603540021152,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,SR_B4_SR_B7_1,0.6546449444359868,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,SR_B4_SR_B2_2,0.8046226424422128,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,SR_B4_SR_B3_2,0.8302692525682385,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,SR_B4_SR_B4_2,0.8324127294598331,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,SR_B4_SR_B5_2,0.004117735645380115,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,SR_B4_SR_B6_2,0.74711265455228,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,SR_B4_SR_B7_2,0.7876463650658252,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,SR_B4_pc1,0.39547835889046073,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,SR_B4_pc2,0.7125056878941177,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,SR_B4_pc3,0.08114920255760312,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,SR_B5_SR_B2,0.2075736006730835,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,SR_B5_SR_B3,0.29899712672740403,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,SR_B5_SR_B4,0.23145569512092562,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,SR_B5_SR_B5,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,SR_B5_SR_B6,0.4244701785822184,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,SR_B5_SR_B7,0.2842850334945339,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,SR_B5_elevation,-0.1667046612314376,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,SR_B5_slope,-0.18755188123448532,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,SR_B5_NDBI,-0.08353031801452787,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,SR_B5_NDVI,0.13768937641089024,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,SR_B5_BLFEI,-0.17656493866517417,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,SR_B5_NDMI,0.08353031801452787,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,SR_B5_NDSaII,-0.15270375537021189,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,SR_B5_ExG,0.30231049355552464,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,SR_B5_EVI,0.5881823544024676,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,SR_B5_SR_B2_1,0.34928402434853123,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,SR_B5_SR_B3_1,0.38218320574583375,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,SR_B5_SR_B4_1,0.3679586671088243,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,SR_B5_SR_B5_1,0.5075448278721368,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,SR_B5_SR_B6_1,0.516884958015823,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,SR_B5_SR_B7_1,0.43671891701303406,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,SR_B5_SR_B2_2,0.37893977490845376,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,SR_B5_SR_B3_2,0.40957261485465285,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,SR_B5_SR_B4_2,0.402549693552535,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,SR_B5_SR_B5_2,0.5468664440365912,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,SR_B5_SR_B6_2,0.5990367828934485,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,SR_B5_SR_B7_2,0.49287722639433584,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,SR_B5_pc1,0.25714430250007436,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,SR_B5_pc2,0.3262566832083266,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,SR_B5_pc3,-0.23048447026741828,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,SR_B6_SR_B2,0.8311369966948612,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,SR_B6_SR_B3,0.8296968881070622,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,SR_B6_SR_B4,0.8682926207078431,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,SR_B6_SR_B5,0.4244701785822185,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,SR_B6_SR_B6,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,SR_B6_SR_B7,0.9623527128486484,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,SR_B6_elevation,-0.35020909755559304,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,SR_B6_slope,-0.2878084341407046,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,SR_B6_NDBI,0.8467366172729742,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,SR_B6_NDVI,-0.6841545148372655,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,SR_B6_BLFEI,0.3281272532098574,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,SR_B6_NDMI,-0.8467366172729742,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,SR_B6_NDSaII,0.32615054757560846,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,SR_B6_ExG,-0.3329025698375367,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,SR_B6_EVI,-0.38221339333311166,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,SR_B6_SR_B2_1,0.5453262884279629,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,SR_B6_SR_B3_1,0.5884690974149529,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,SR_B6_SR_B4_1,0.5463790100390249,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,SR_B6_SR_B5_1,0.3912670637092394,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,SR_B6_SR_B6_1,0.6970202731893939,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,SR_B6_SR_B7_1,0.6428689136256193,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,SR_B6_SR_B2_2,0.6301763563834731,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,SR_B6_SR_B3_2,0.665528745981585,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,SR_B6_SR_B4_2,0.6680108538719632,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,SR_B6_SR_B5_2,0.32037770225541884,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,SR_B6_SR_B6_2,0.8298633287731517,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,SR_B6_SR_B7_2,0.7469745221065022,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,SR_B6_pc1,0.3438480779032386,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,SR_B6_pc2,0.683331542305234,"{""type"":""MultiPoint"",""coordinates"":[]}"
