Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,X,Y,Xcoord,Ycoord
F,,,,,,"-1","0","-1",,,,,89.2293079848658,23.0478757462292
A,,,,,,"-1","0","-1",,,,,89.5197778030095,22.9471549010417
W,,,,,,"-1","0","-1",,,,,89.7356391332074,22.9317122266647
A,,,,,,"-1","0","-1",,,,,89.635878754596,22.9954667759796
A,,,,,,"-1","0","-1",,,,,89.4335111172997,23.0598424228161
F,,,,,,"-1","0","-1",,,,,89.1322893744749,23.1464129876913
A,,,,,,"-1","0","-1",,,,,88.9556755935251,23.2332269312599
S,,,,,,"-1","0","-1",,,,,89.3285523758923,23.1507788020918
F,,,,,,"-1","0","-1",,,,,88.7445354024493,23.268207052339
A,,,,,,"-1","0","-1",,,,,88.9214589790671,23.3355262923573
H,,,,,,"-1","0","-1",,,,,88.8188385179886,23.4361355147998
H,,,,,,"-1","0","-1",,,,,89.0119594168687,23.4398416158373
H,,,,,,"-1","0","-1",,,,,89.1216544028388,23.3280766897476
G,,,,,,"-1","0","-1",,,,,89.244482359206,23.2533276237406
A,,,,,,"-1","0","-1",,,,,89.5206596078551,23.2342249509653
F,,,,,,"-1","0","-1",,,,,89.7327919049765,23.1404475144213
A,,,,,,"-1","0","-1",,,,,89.4313471945245,23.3373118556951
A,,,,,,"-1","0","-1",,,,,89.2833757160833,23.4218988685438
A,,,,,,"-1","0","-1",,,,,88.847164207101,23.2389384848369
H,,,,,,"-1","0","-1",,,,,90.0957199724594,21.8315725316245
A,,,,,,"-1","0","-1",,,,,90.5496364864006,21.8969006194962
G,,,,,,"-1","0","-1",,,,,90.6482058468223,21.9548536882765
F,,,,,,"-1","0","-1",,,,,90.5885227808766,22.0684635598189
G,,,,,,"-1","0","-1",,,,,90.9003990227887,22.1181042160893
G,,,,,,"-1","0","-1",,,,,89.1115924954842,23.4204887684002
A,,,,,,"-1","0","-1",,,,,89.2062888878769,23.4744265643601
H,,,,,,"-1","0","-1",,,,,89.8203208018189,22.8034120225509
A,,,,,,"-1","0","-1",,,,,89.9478814314236,22.803920610342
G,,,,,,"-1","0","-1",,,,,89.8905418909314,22.8735210808293
G,,,,,,"-1","0","-1",,,,,89.8290937001994,22.99147407136
H,,,,,,"-1","0","-1",,,,,89.958184809029,22.9981983592972
B,,,,,,"-1","0","-1",,,,,90.0384692402745,22.9212335382019
A,,,,,,"-1","0","-1",,,,,90.1215804258936,22.804584779756
G,,,,,,"-1","0","-1",,,,,90.0281718787572,22.6541093581364
G,,,,,,"-1","0","-1",,,,,90.0161675956149,22.5344414156158
F,,,,,,"-1","0","-1",,,,,90.101450153264,22.5915901190558
A,,,,,,"-1","0","-1",,,,,88.9140486832409,23.5398177096366
A,,,,,,"-1","0","-1",,,,,89.050602644107,23.5424288159766
H,,,,,,"-1","0","-1",,,,,88.6545346326978,23.5820051798926
F,,,,,,"-1","0","-1",,,,,88.8180660140935,23.6419566032209
G,,,,,,"-1","0","-1",,,,,88.9927766780149,23.691712272297
H,,,,,,"-1","0","-1",,,,,89.2150270469498,23.6303477465217
G,,,,,,"-1","0","-1",,,,,89.3288418246992,23.5488633742136
G,,,,,,"-1","0","-1",,,,,89.395876483047,23.4748478095649
W,,,,,,"-1","0","-1",,,,,89.6276440795647,23.247749741422
A,,,,,,"-1","0","-1",,,,,89.767550770784,23.3223752394135
G,,,,,,"-1","0","-1",,,,,89.936312562771,23.2901610357237
A,,,,,,"-1","0","-1",,,,,90.0616160556453,23.2019317489987
H,,,,,,"-1","0","-1",,,,,90.094992534097,23.0694572135653
H,,,,,,"-1","0","-1",,,,,90.1861291877731,22.9622168965042
A,,,,,,"-1","0","-1",,,,,90.2477486787816,22.8636817632071
F,,,,,,"-1","0","-1",,,,,90.1782099820865,22.7069929745404
G,,,,,,"-1","0","-1",,,,,90.2586332595421,22.5966714624096
A,,,,,,"-1","0","-1",,,,,90.4178861620536,22.5287416860209
H,,,,,,"-1","0","-1",,,,,90.4735425477696,22.4001166318875
W,,,,,,"-1","0","-1",,,,,90.5933224917664,22.5154088305678
G,,,,,,"-1","0","-1",,,,,90.5074044874102,22.6077305006171
A,,,,,,"-1","0","-1",,,,,90.4006728449999,22.6757847057099
A,,,,,,"-1","0","-1",,,,,89.1253635764966,23.7370840175027
H,,,,,,"-1","0","-1",,,,,89.2770022894215,23.7199084611234
G,,,,,,"-1","0","-1",,,,,89.2175260898,23.8535115574368
A,,,,,,"-1","0","-1",,,,,89.001057313059,23.8301964419559
A,,,,,,"-1","0","-1",,,,,89.0785500054597,23.9304232334596
G,,,,,,"-1","0","-1",,,,,88.6885345759476,23.7169564041125
W,,,,,,"-1","0","-1",,,,,88.5864350069662,23.7821022363861
A,,,,,,"-1","0","-1",,,,,88.8814279747339,23.7687065462276
A,,,,,,"-1","0","-1",,,,,88.6967919792729,23.8531226044721
A,,,,,,"-1","0","-1",,,,,88.8168538782511,23.917616539157
A,,,,,,"-1","0","-1",,,,,88.9335180584779,23.9430546148725
H,,,,,,"-1","0","-1",,,,,88.78675036944,24.0238590856917
W,,,,,,"-1","0","-1",,,,,88.7946081185626,24.1250703902602
A,,,,,,"-1","0","-1",,,,,88.9738427859166,24.0871555589284
H,,,,,,"-1","0","-1",,,,,89.1269777551568,24.0563061428672
A,,,,,,"-1","0","-1",,,,,89.6092435566778,23.4146340955259
F,,,,,,"-1","0","-1",,,,,89.5260596015092,23.4971686878846
G,,,,,,"-1","0","-1",,,,,89.7017337942015,23.4994189265121
H,,,,,,"-1","0","-1",,,,,89.8263970448134,23.4148986914683
A,,,,,,"-1","0","-1",,,,,89.9592346961777,23.3934210870342
W,,,,,,"-1","0","-1",,,,,90.1131405878327,23.3007823196271
A,,,,,,"-1","0","-1",,,,,90.1866719620823,23.4040807750167
S,,,,,,"-1","0","-1",,,,,90.0837409703155,23.4863372801383
G,,,,,,"-1","0","-1",,,,,89.88466387847,23.5151837990121
W,,,,,,"-1","0","-1",,,,,89.9868499857156,23.5759036150752
A,,,,,,"-1","0","-1",,,,,89.6026984225689,23.6895201300892
H,,,,,,"-1","0","-1",,,,,89.8182117561327,23.5953770113499
S,,,,,,"-1","0","-1",,,,,89.8874540719944,23.6671450339497
H,,,,,,"-1","0","-1",,,,,89.4184792509089,23.6915493069171
S,,,,,,"-1","0","-1",,,,,89.9523371511892,23.9109650031096
A,,,,,,"-1","0","-1",,,,,89.9850682751718,23.7428299523464
W,,,,,,"-1","0","-1",,,,,89.5174784397835,23.6061103612827
H,,,,,,"-1","0","-1",,,,,88.8887476703559,24.1863776120393
A,,,,,,"-1","0","-1",,,,,90.0931131517237,23.6874413952721
S,,,,,,"-1","0","-1",,,,,88.7463295937819,24.250767165234
H,,,,,,"-1","0","-1",,,,,90.1085959837107,23.8139837568801
A,,,,,,"-1","0","-1",,,,,89.0460802895494,24.2110179564543
H,,,,,,"-1","0","-1",,,,,88.9205466832438,24.3286896757
A,,,,,,"-1","0","-1",,,,,89.7336315617035,23.7433261821151
A,,,,,,"-1","0","-1",,,,,90.2154895808594,23.5617610758972
A,,,,,,"-1","0","-1",,,,,89.3582437410057,23.8849184946668
G,,,,,,"-1","0","-1",,,,,89.843791020832,23.8757723748553
G,,,,,,"-1","0","-1",,,,,89.5449085468869,24.0366394759986
A,,,,,,"-1","0","-1",,,,,89.4564951180148,23.8003956024325
A,,,,,,"-1","0","-1",,,,,89.2337223996296,24.1423844007451
A,,,,,,"-1","0","-1",,,,,89.5282553669355,24.1919279284462
A,,,,,,"-1","0","-1",,,,,89.3930258944404,24.0704648702586
H,,,,,,"-1","0","-1",,,,,89.6161390069065,23.8658306739867
H,,,,,,"-1","0","-1",,,,,89.6989807501606,24.2243644250798
H,,,,,,"-1","0","-1",,,,,89.196975505841,24.2977745122508
A,,,,,,"-1","0","-1",,,,,89.4209904438855,24.2404533690863
A,,,,,,"-1","0","-1",,,,,89.4962653612263,23.9522798831343
H,,,,,,"-1","0","-1",,,,,89.5931136848542,24.3230974898869
H,,,,,,"-1","0","-1",,,,,89.2970131826473,24.4208974448641
W,,,,,,"-1","0","-1",,,,,89.6178978985885,24.4763590145283
H,,,,,,"-1","0","-1",,,,,89.7070196716292,24.3908112021198
G,,,,,,"-1","0","-1",,,,,89.4877854955351,24.3952978994204
A,,,,,,"-1","0","-1",,,,,89.3937774725747,24.5052975441675
G,,,,,,"-1","0","-1",,,,,89.7979114484026,24.1152766041046
S,,,,,,"-1","0","-1",,,,,89.8094907948851,24.2989627837441
W,,,,,,"-1","0","-1",,,,,88.4955733965283,25.1588570048962
S,,,,,,"-1","0","-1",,,,,89.7568776110115,23.9740790477493
H,,,,,,"-1","0","-1",,,,,89.2444470595307,24.0028699181754
F,,,,,,"-1","0","-1",,,,,88.6424162983697,25.191374825325
A,,,,,,"-1","0","-1",,,,,88.8565479073791,25.183052460945
S,,,,,,"-1","0","-1",,,,,88.7563198721817,25.1392761959011
W,,,,,,"-1","0","-1",,,,,88.8069235371594,24.9761103425395
A,,,,,,"-1","0","-1",,,,,88.9020670445042,25.0715052176739
A,,,,,,"-1","0","-1",,,,,88.4273918735613,24.9514831795754
A,,,,,,"-1","0","-1",,,,,88.7339979232554,25.0444935064646
A,,,,,,"-1","0","-1",,,,,88.6201148949817,25.0738077140378
S,,,,,,"-1","0","-1",,,,,88.4542688984827,25.0456339651546
H,,,,,,"-1","0","-1",,,,,88.5840669819193,24.9602715489024
A,,,,,,"-1","0","-1",,,,,88.6944114750519,24.889235290743
A,,,,,,"-1","0","-1",,,,,88.5216161410874,24.8550410895061
A,,,,,,"-1","0","-1",,,,,88.3582035678443,24.8549744225255
A,,,,,,"-1","0","-1",,,,,88.1974543924037,24.8870592467851
G,,,,,,"-1","0","-1",,,,,88.28795541698,24.814080849108
H,,,,,,"-1","0","-1",,,,,88.4623290424462,24.7635366914152
A,,,,,,"-1","0","-1",,,,,88.3712209157899,24.6886860253543
H,,,,,,"-1","0","-1",,,,,88.0637790656321,24.6657576564647
G,,,,,,"-1","0","-1",,,,,88.1902630729643,24.774367938072
A,,,,,,"-1","0","-1",,,,,88.2401353904242,24.6607373842053
A,,,,,,"-1","0","-1",,,,,88.1832709838648,24.58597945066
G,,,,,,"-1","0","-1",,,,,88.2210615641011,24.4787560166446
A,,,,,,"-1","0","-1",,,,,88.3244100188928,24.5511391861124
S,,,,,,"-1","0","-1",,,,,88.3544825317569,24.4255498468954
